Year,Inspected
1998,86409
1999,75252
2000,111296
2001,116535
2002,123720
2003,138754
2004,157617
2005,171874
2006,183247
2007,187670
2008,186959
2009,176798
2010,178341
2011,183063
2012,184564
2013,184824
2014,180463
2015,193971
